url,no of dots,presence of hyphen,len of url,presence of at,presence of double slash,no of subdir,no of subdomain,len of domain,no of queries,is IP,presence of Suspicious_TLD,presence of suspicious domain,label
bluesnap.com,0,0,12,0,0,0,0,0,0,0,0,0,0
moluch.ru,0,0,9,0,0,0,0,0,0,0,0,0,0
upgrad.com,0,0,10,0,0,0,0,0,0,0,0,0,0
vidstream.to,0,0,12,0,0,0,0,0,0,0,0,0,0
alwafd.news,0,0,11,0,0,0,0,0,0,0,0,0,0
xinxian8.com,0,0,12,0,0,0,0,0,0,0,0,0,0
flaticon.com,0,0,12,0,0,0,0,0,0,0,0,0,0
artsconsortium.org/wkqcisrgap/ahqjkywlsx.html,0,0,45,0,0,2,0,0,0,0,0,0,1
ddunlimited.net,0,0,15,0,0,0,0,0,0,0,0,0,0
mizuhobank.co.jp,0,0,16,0,0,0,0,0,0,0,0,0,0
myfxbook.com,0,0,12,0,0,0,0,0,0,0,0,0,0
mavenlink.com,0,0,13,0,0,0,0,0,0,0,0,0,0
msdmanuals.com,0,0,14,0,0,0,0,0,0,0,0,0,0
365jilin.com,0,0,12,0,0,0,0,0,0,0,0,0,0
efsyn.gr,0,0,8,0,0,0,0,0,0,0,0,0,0
hobbs.co.uk,0,0,11,0,0,0,0,0,0,0,0,0,0
onthisday.com,0,0,13,0,0,0,0,0,0,0,0,0,0
santander.com.br,0,0,16,0,0,0,0,0,0,0,0,0,0
honeys.tmall.com,0,0,16,0,0,0,1,0,0,0,0,0,0
jagranjosh.com,0,0,14,0,0,0,0,0,0,0,0,0,0
liul.net,0,0,8,0,0,0,0,0,0,0,0,0,0
nationalgeographic.com,0,0,22,0,0,0,0,0,0,0,0,0,0
ui.ac.id,0,0,8,0,0,0,0,0,0,0,0,0,0
westernjournal.com,0,0,18,0,0,0,0,0,0,0,0,0,0
bell.ca,0,0,7,0,0,0,0,0,0,0,0,0,0
yougube.com,0,0,11,0,0,0,0,0,0,0,0,0,1
deleondeos.com/img/script.php?tup3.jpg,0,0,38,0,0,2,0,0,8,0,0,0,1
tele2.ru,0,0,8,0,0,0,0,0,0,0,0,0,0
google.com.py,0,0,13,0,0,0,0,0,0,0,0,0,0
alnaharegypt.com,0,0,16,0,0,0,0,0,0,0,0,0,0
airasia.com,0,0,11,0,0,0,0,0,0,0,0,0,0
qu.edu.qa,0,0,9,0,0,0,0,0,0,0,0,0,0
www.xiruz.kit.net/mola.jpg,1,0,26,0,0,1,2,0,0,0,0,0,1
cuni.cz,0,0,7,0,0,0,0,0,0,0,0,0,0
referralcandy.com,0,0,17,0,0,0,0,0,0,0,0,0,0
thestreet.com,0,0,13,0,0,0,0,0,0,0,0,0,0
tube8vidscut.ddns.name/2013/girl-fucked-by-dog.avi.exe,0,0,54,0,0,2,1,0,0,0,0,0,1
myip.ms,0,0,7,0,0,0,0,0,0,0,0,0,0
chrono.gg,0,0,9,0,0,0,0,0,0,0,0,0,0
curp.gob.mx,0,0,11,0,0,0,0,0,0,0,0,0,0
imovie-time.co,0,0,14,0,0,0,0,0,0,0,0,0,0
dimenal.com.br/cUEDN4w2/index.html?s=883&lid=2267&elq=11f7b1b5179f45b09737bdf10d0fe61f,0,0,86,0,0,2,0,0,51,0,0,0,1
burberry.com,0,0,12,0,0,0,0,0,0,0,0,0,0
omegle.com,0,0,10,0,0,0,0,0,0,0,0,0,0
boschetto-hotel.gr/index.zip,0,0,28,0,0,1,0,0,0,0,0,0,1
clavier-arab.org,0,0,16,0,0,0,0,0,0,0,0,0,0
au.com,0,0,6,0,0,0,0,0,0,0,0,0,0
alg24.net,0,0,9,0,0,0,0,0,0,0,0,0,0
cupshe.com,0,0,10,0,0,0,0,0,0,0,0,0,0
cuntwars.com,0,0,12,0,0,0,0,0,0,0,0,0,0
alternate.de,0,0,12,0,0,0,0,0,0,0,0,0,0
babylon.com,0,0,11,0,0,0,0,0,0,0,0,0,0
jobstreet.com.ph,0,0,16,0,0,0,0,0,0,0,0,0,0
bayern.de,0,0,9,0,0,0,0,0,0,0,0,0,0
ria.ru,0,0,6,0,0,0,0,0,0,0,0,0,0
tim.com.br,0,0,10,0,0,0,0,0,0,0,0,0,0
jstaikos.com/51i70l/chbpy.html,0,0,30,0,0,2,0,0,0,0,0,0,1
luca.com.tr,0,0,11,0,0,0,0,0,0,0,0,0,0
oakso.tourstogo.us/pheekseeku/kirystobul/exeedsoots/files/,0,0,58,0,0,5,1,0,0,0,0,0,1
diply.com,0,0,9,0,0,0,0,0,0,0,0,0,0
bertina.us,0,0,10,0,0,0,0,0,0,0,0,0,0
coupons.com,0,0,11,0,0,0,0,0,0,0,0,0,0
wkzf.com,0,0,8,0,0,0,0,0,0,0,0,0,0
djelfa.info,0,0,11,0,0,0,0,0,0,0,0,0,0
unblocktheship.org,0,0,18,0,0,0,0,0,0,0,0,0,0
videvo.net,0,0,10,0,0,0,0,0,0,0,0,0,0
sportsulsan.co.kr/poll/aipi/id.txt,0,0,34,0,0,3,0,0,0,0,0,0,1
git-scm.com,0,0,11,0,0,0,0,0,0,0,0,0,0
videospornogratisx.net,0,0,22,0,0,0,0,0,0,0,0,0,0
tribunnewswiki.com,0,0,18,0,0,0,0,0,0,0,0,0,0
258.com,0,0,7,0,0,0,0,0,0,0,0,0,0
youdao.com,0,0,10,0,0,0,0,0,0,0,0,0,0
jreast.co.jp,0,0,12,0,0,0,0,0,0,0,0,0,0
vodafone.com.eg,0,0,15,0,0,0,0,0,0,0,0,0,0
1866809.securefastserver.com/~keycodes777/x1/login.php,0,0,54,0,0,3,1,0,0,0,0,0,1
perfectgirls.net,0,0,16,0,0,0,0,0,0,0,0,0,0
commerzbank.de,0,0,14,0,0,0,0,0,0,0,0,0,0
advanceautoparts.com,0,0,20,0,0,0,0,0,0,0,0,0,0
refinery29.com,0,0,14,0,0,0,0,0,0,0,0,0,0
bsnl.co.in,0,0,10,0,0,0,0,0,0,0,0,0,0
wiktionary.org,0,0,14,0,0,0,0,0,0,0,0,0,0
ssrn.com,0,0,8,0,0,0,0,0,0,0,0,0,0
2cto.com,0,0,8,0,0,0,0,0,0,0,0,0,0
airbnb.it,0,0,9,0,0,0,0,0,0,0,0,0,0
mercadolibre.com.uy,0,0,19,0,0,0,0,0,0,0,0,0,0
hst-19-33.splius.lt:8080,0,0,24,0,0,0,1,0,0,0,0,0,1
citex.io,0,0,8,0,0,0,0,0,0,0,0,0,0
nevergreen.net/6ob,0,0,18,0,0,1,0,0,0,0,0,0,1
bigcinema-hd.club,0,0,17,0,0,0,0,0,0,0,0,0,0
4399.com,0,0,8,0,0,0,0,0,0,0,0,0,0
usc.co.uk,0,0,9,0,0,0,0,0,0,0,0,0,0
livejournal.com,0,0,15,0,0,0,0,0,0,0,0,0,0
ad-maven.com,0,0,12,0,0,0,0,0,0,0,0,0,0
vanguard.com,0,0,12,0,0,0,0,0,0,0,0,0,0
gazetadopovo.com.br,0,0,19,0,0,0,0,0,0,0,0,0,0
mrpiracy.xyz,0,0,12,0,0,0,0,0,0,0,0,0,0
tsf.pt,0,0,6,0,0,0,0,0,0,0,0,0,0
wheniwork.com,0,0,13,0,0,0,0,0,0,0,0,0,0
groupon.es,0,0,10,0,0,0,0,0,0,0,0,0,0
btcclicks.com,0,0,13,0,0,0,0,0,0,0,0,0,0
svetyivanrilski.com,0,0,19,0,0,0,0,0,0,0,0,0,1
siteadvisor.com,0,0,15,0,0,0,0,0,0,0,0,0,0
skyscrapercity.com,0,0,18,0,0,0,0,0,0,0,0,0,0
bankofindia.com,0,0,15,0,0,0,0,0,0,0,0,0,0
www.fabioalbini.com/Order.zip?YIjoBgGhCBbs Trojan.Zbot,0,0,54,0,0,1,1,0,24,0,0,0,1
fy169.net,0,0,9,0,0,0,0,0,0,0,0,0,0
rockstargames.com,0,0,17,0,0,0,0,0,0,0,0,0,0
dl.downf468.com/n/3.0.26.2/6690540/minecraft1.5.2.exe,0,0,53,0,0,4,1,0,0,0,0,0,1
tineye.com,0,0,10,0,0,0,0,0,0,0,0,0,0
otcmarkets.com,0,0,14,0,0,0,0,0,0,0,0,0,0
chuansong.me,0,0,12,0,0,0,0,0,0,0,0,0,0
gdz-putina.info,0,0,15,0,0,0,0,0,0,0,0,0,0
seowhy.com,0,0,10,0,0,0,0,0,0,0,0,0,0
tezhongzhuangbei.com,0,0,20,0,0,0,0,0,0,0,0,0,0
www.gasthofpost-ebs.de/,0,0,23,0,0,1,1,0,0,0,0,0,1
dsw.com,0,0,7,0,0,0,0,0,0,0,0,0,0
executivecoaching.co.il/IsKgVrtvQ/,0,0,34,0,0,2,0,0,0,0,0,0,1
kinja.com,0,0,9,0,0,0,0,0,0,0,0,0,0
myworkdayjobs.com,0,0,17,0,0,0,0,0,0,0,0,0,0
faire.com,0,0,9,0,0,0,0,0,0,0,0,0,0
pc-karuma.net,0,0,13,0,0,0,0,0,0,0,0,0,0
aastocks.com,0,0,12,0,0,0,0,0,0,0,0,0,0
sellersprite.com,0,0,16,0,0,0,0,0,0,0,0,0,0
pinterest.jp,0,0,12,0,0,0,0,0,0,0,0,0,0
google.com.ua,0,0,13,0,0,0,0,0,0,0,0,0,0
battle.net,0,0,10,0,0,0,0,0,0,0,0,0,0
ezinearticles.com,0,0,17,0,0,0,0,0,0,0,0,0,0
otnolatrnup.com,0,0,15,0,0,0,0,0,0,0,0,0,0
www.proascolcolombia.com/portal/modules/mod_banners/Imprimir_IntimacaoCTI2015-03698541.rar?cli=Cliente&/yRpBKPujKU/nNqRc6QsuO.php,0,0,129,0,0,4,1,0,38,0,0,0,1
as.me,0,0,5,0,0,0,0,0,0,0,0,0,0
hollisterco.tmall.com,0,0,21,0,0,0,1,0,0,0,0,0,0
inpixio.com,0,0,11,0,0,0,0,0,0,0,0,0,0
bubuko.com,0,0,10,0,0,0,0,0,0,0,0,0,0
slimxxxtubealn.ddns.name/2013/girl-fucked-by-dog.avi.exe,0,0,56,0,0,2,1,0,0,0,0,0,1
imgflip.com,0,0,11,0,0,0,0,0,0,0,0,0,0
hallmark.com,0,0,12,0,0,0,0,0,0,0,0,0,0
mlpoint.pt/Scripts/d.html,0,0,25,0,0,2,0,0,0,0,0,0,1
e1r.net/download/ca.exe,0,0,23,0,0,2,0,0,0,0,0,0,1
atlasobscura.com,0,0,16,0,0,0,0,0,0,0,0,0,0
behance.net,0,0,11,0,0,0,0,0,0,0,0,0,0
zcw.cn,0,0,6,0,0,0,0,0,0,0,0,0,0
streamlabs.com,0,0,14,0,0,0,0,0,0,0,0,0,0
logme.in,0,0,8,0,0,0,0,0,0,0,0,0,0
nike.com,0,0,8,0,0,0,0,0,0,0,0,0,0
letu.ru,0,0,7,0,0,0,0,0,0,0,0,0,0
nii.ac.jp,0,0,9,0,0,0,0,0,0,0,0,0,0
ministerio-publi.info/web/pe/pe_01.php,0,0,38,0,0,3,0,0,0,0,0,0,1
exacttarget.com,0,0,15,0,0,0,0,0,0,0,0,0,0
dmm.co.jp,0,0,9,0,0,0,0,0,0,0,0,0,0
kooralife.com,0,0,13,0,0,0,0,0,0,0,0,0,0
sorozatbarat.online,0,0,19,0,0,0,0,0,0,0,0,0,0
psnprofiles.com,0,0,15,0,0,0,0,0,0,0,0,0,0
greasyfork.org,0,0,14,0,0,0,0,0,0,0,0,0,0
invoicely.com,0,0,13,0,0,0,0,0,0,0,0,0,0
siap.web.id,0,0,11,0,0,0,0,0,0,0,0,0,0
www.cellularbeton.it/js/jquery.js,0,0,33,0,0,2,1,0,0,0,0,0,1
hapitas.jp,0,0,10,0,0,0,0,0,0,0,0,0,0
jamejamonline.ir,0,0,16,0,0,0,0,0,0,0,0,0,0
bicentenariobu.com,0,0,18,0,0,0,0,0,0,0,0,0,0
novy.tv,0,0,7,0,0,0,0,0,0,0,0,0,0
1news.az,0,0,8,0,0,0,0,0,0,0,0,0,0
eeroo.frost-electric-supply.com/phoagnonga/oshuzoathu/anunserogy/files/,0,0,71,0,0,5,1,0,0,0,0,0,1
zi.media,0,0,8,0,0,0,0,0,0,0,0,0,0
mode.com,0,0,8,0,0,0,0,0,0,0,0,0,0
fnb.co.za,0,0,9,0,0,0,0,0,0,0,0,0,0
huffingtonpost.gr,0,0,17,0,0,0,0,0,0,0,0,0,0
topbiz360.com,0,0,13,0,0,0,0,0,0,0,0,0,0
fruitmail.net,0,0,13,0,0,0,0,0,0,0,0,0,0
cncn.org.cn,0,0,11,0,0,0,0,0,0,0,0,0,0
multiurok.ru,0,0,12,0,0,0,0,0,0,0,0,0,0
gulf-times.com,0,0,14,0,0,0,0,0,0,0,0,0,0
cancer.org,0,0,10,0,0,0,0,0,0,0,0,0,0
directxex.com/uploads/232683212.igi.exe,0,0,39,0,0,2,0,0,0,0,0,0,1
clickbits.io,0,0,12,0,0,0,0,0,0,0,0,0,0
bradesco.com.br,0,0,15,0,0,0,0,0,0,0,0,0,0
canalblog.com,0,0,13,0,0,0,0,0,0,0,0,0,0
livescore.com,0,0,13,0,0,0,0,0,0,0,0,0,0
meezanbank.com,0,0,14,0,0,0,0,0,0,0,0,0,0
www.sanseracingteam.com/wordpress/?p=128,0,0,40,0,0,2,1,0,5,0,0,0,1
openlibrary.org,0,0,15,0,0,0,0,0,0,0,0,0,0
ajewishgift.com/HSBC_STORAGE.DATA/secure_payment.html,0,0,53,0,0,2,0,0,0,0,0,0,1
chasethetrend.com,0,0,17,0,0,0,0,0,0,0,0,0,0
demo.vertexinfo.in/conclusione/dettagli.zip,0,0,43,0,0,2,1,0,0,0,0,0,1
vidpaw.com,0,0,10,0,0,0,0,0,0,0,0,0,0
audiomack.com,0,0,13,0,0,0,0,0,0,0,0,0,0
recivenotifications.com,0,0,23,0,0,0,0,0,0,0,0,0,0
tube8vidsiet.ddns.name/2013/girl-fucked-by-dog.avi.exe,0,0,54,0,0,2,1,0,0,0,0,0,1
shopee.vn,0,0,9,0,0,0,0,0,0,0,0,0,0
1xirsp87.com,0,0,12,0,0,0,0,0,0,0,0,0,0
oscaro.com,0,0,10,0,0,0,0,0,0,0,0,0,0
jiemian.com,0,0,11,0,0,0,0,0,0,0,0,0,0
awscloud.com,0,0,12,0,0,0,0,0,0,0,0,0,0
uottawa.ca,0,0,10,0,0,0,0,0,0,0,0,0,0
www.studiolegaleabbruzzese.com/wp-content/plugins/urxwhbnw3ez/flight_4832.pdf,0,0,77,0,0,4,1,0,0,0,0,0,1
wplay.co,0,0,8,0,0,0,0,0,0,0,0,0,0
zhuwang.cc,0,0,10,0,0,0,0,0,0,0,0,0,0
com-item.today,0,0,14,0,0,0,0,0,0,0,0,0,0
eliehabib.com/topic/regard_alternate_sheet.php,0,0,46,0,0,2,0,0,0,0,0,0,1
gyboo.cruisingsmallship.com/phyckyhert/oaltesteef/ptoneewhis/files/,0,0,67,0,0,5,1,0,0,0,0,0,1
dhs.gov,0,0,7,0,0,0,0,0,0,0,0,0,0
autoblog.com,0,0,12,0,0,0,0,0,0,0,0,0,0
directxex.com/uploads/610411940.save.exe,0,0,40,0,0,2,0,0,0,0,0,0,1
sblo.jp,0,0,7,0,0,0,0,0,0,0,0,0,0
vestifinance.ru,0,0,15,0,0,0,0,0,0,0,0,0,0
sketch.cloud,0,0,12,0,0,0,0,0,0,0,0,0,0
1c.ru,0,0,5,0,0,0,0,0,0,0,0,0,0
dollskill.com,0,0,13,0,0,0,0,0,0,0,0,0,0
klikbca.com,0,0,11,0,0,0,0,0,0,0,0,0,0
olimpiada.ru,0,0,12,0,0,0,0,0,0,0,0,0,0
mzamin.com,0,0,10,0,0,0,0,0,0,0,0,0,0
etsystatic.com,0,0,14,0,0,0,0,0,0,0,0,0,0
anzalweb.ir,0,0,11,0,0,0,0,0,0,0,0,0,0
bikedekho.com,0,0,13,0,0,0,0,0,0,0,0,0,0
mysynchrony.com,0,0,15,0,0,0,0,0,0,0,0,0,0
epson.co.in,0,0,11,0,0,0,0,0,0,0,0,0,0
miao.tmall.com,0,0,14,0,0,0,1,0,0,0,0,0,0
islamqa.info,0,0,12,0,0,0,0,0,0,0,0,0,0
successcds.net,0,0,14,0,0,0,0,0,0,0,0,0,0
att.net,0,0,7,0,0,0,0,0,0,0,0,0,0
seniat.gob.ve,0,0,13,0,0,0,0,0,0,0,0,0,0
24h.com.vn,0,0,10,0,0,0,0,0,0,0,0,0,0
autoplius.lt,0,0,12,0,0,0,0,0,0,0,0,0,0
fptshop.com.vn,0,0,14,0,0,0,0,0,0,0,0,0,0
theringer.com,0,0,13,0,0,0,0,0,0,0,0,0,0
he.net,0,0,6,0,0,0,0,0,0,0,0,0,0
visme.co,0,0,8,0,0,0,0,0,0,0,0,0,0
zhihuishu.com,0,0,13,0,0,0,0,0,0,0,0,0,0
pochta.ru,0,0,9,0,0,0,0,0,0,0,0,0,0
ministerio-publi.info/web/bo_03.php,0,0,35,0,0,2,0,0,0,0,0,0,1
oowhe.frost-electric-supply.com/ejisoozach/esisseeloo/oajilitsof/files/,0,0,71,0,0,5,1,0,0,0,0,0,1
gurde.tourstogo.us/leefoohopt/ezussoadyz/utufegheer/files/GO49776M.vbs,0,0,70,0,0,5,1,0,0,0,0,0,1
brunch.co.kr,0,0,12,0,0,0,0,0,0,0,0,0,0
diepresse.com,0,0,13,0,0,0,0,0,0,0,0,0,0
ny.gov,0,0,6,0,0,0,0,0,0,0,0,0,0
dashlane.com,0,0,12,0,0,0,0,0,0,0,0,0,0
vpnmentor.com,0,0,13,0,0,0,0,0,0,0,0,0,0
phncdn.com,0,0,10,0,0,0,0,0,0,0,0,0,0
www.two-of-us.at/images/au4x.exe,0,0,32,0,0,2,1,0,0,0,0,0,1
www.rempko.sk/kontakt.htm,0,0,25,0,0,1,1,0,0,0,0,0,1
rakuten-card.co.jp,0,0,18,0,0,0,0,0,0,0,0,0,0
chordify.net,0,0,12,0,0,0,0,0,0,0,0,0,0
upload.ee,0,0,9,0,0,0,0,0,0,0,0,0,0
mackolik.com,0,0,12,0,0,0,0,0,0,0,0,0,0
3sk.io,0,0,6,0,0,0,0,0,0,0,0,0,0
canalrcn.com,0,0,12,0,0,0,0,0,0,0,0,0,0
asm.org,0,0,7,0,0,0,0,0,0,0,0,0,0
janaboli.com,0,0,12,0,0,0,0,0,0,0,0,0,0
aarth.net,0,0,9,0,0,0,0,0,0,0,0,0,0
gaana.com,0,0,9,0,0,0,0,0,0,0,0,0,0
eva.vn,0,0,6,0,0,0,0,0,0,0,0,0,0
www.poesiadelsud.it/rende_16_05_07_saggese.htm,0,0,46,0,0,1,1,0,0,0,0,0,1
convertio.co,0,0,12,0,0,0,0,0,0,0,0,0,0
rmol.id,0,0,7,0,0,0,0,0,0,0,0,0,0
roblox.com,0,0,10,0,0,0,0,0,0,0,0,0,0
ipleer.fm,0,0,9,0,0,0,0,0,0,0,0,0,0
vz.lt,0,0,5,0,0,0,0,0,0,0,0,0,0
cheezburger.com,0,0,15,0,0,0,0,0,0,0,0,0,0
claimfreecoins.io,0,0,17,0,0,0,0,0,0,0,0,0,0
tori.fi,0,0,7,0,0,0,0,0,0,0,0,0,0
opinionlab.com,0,0,14,0,0,0,0,0,0,0,0,0,0
pegast.ru,0,0,9,0,0,0,0,0,0,0,0,0,0
www.fsm-europe.eu/,0,0,18,0,0,1,1,0,0,0,0,0,1
8muses.com,0,0,10,0,0,0,0,0,0,0,0,0,0
giantbomb.com,0,0,13,0,0,0,0,0,0,0,0,0,0
eliteprospects.com,0,0,18,0,0,0,0,0,0,0,0,0,0
box.com,0,0,7,0,0,0,0,0,0,0,0,0,0
dummies.com,0,0,11,0,0,0,0,0,0,0,0,0,0
stop-bot.com,0,0,12,0,0,0,0,0,0,0,0,0,0
gramha.net,0,0,10,0,0,0,0,0,0,0,0,0,0
java.com,0,0,8,0,0,0,0,0,0,0,0,0,0
torchbrowser.com,0,0,16,0,0,0,0,0,0,0,0,0,0
krunker.io,0,0,10,0,0,0,0,0,0,0,0,0,0
myfitnesspal.com,0,0,16,0,0,0,0,0,0,0,0,0,0
clustrmaps.com,0,0,14,0,0,0,0,0,0,0,0,0,0
www.atousoft.com/img/2.exe,0,0,26,0,0,2,1,0,0,0,0,0,1
espn.com.br,0,0,11,0,0,0,0,0,0,0,0,0,0
jandan.net,0,0,10,0,0,0,0,0,0,0,0,0,0
mepra.blautechnology.cl/pwigd3.html,0,0,35,0,0,1,1,0,0,0,0,0,1
privy.com,0,0,9,0,0,0,0,0,0,0,0,0,0
ru-clip.net,0,0,11,0,0,0,0,0,0,0,0,0,0
sas.com,0,0,7,0,0,0,0,0,0,0,0,0,0
hirunews.lk,0,0,11,0,0,0,0,0,0,0,0,0,0
mahindrainsurance.com/Informazioni/Conferma.zip?aannuzzo574@libero.it,0,0,69,0,0,2,0,0,21,0,0,0,1
wondershare.net,0,0,15,0,0,0,0,0,0,0,0,0,0
pedsovet.su,0,0,11,0,0,0,0,0,0,0,0,0,0
vivadecora.com.br,0,0,17,0,0,0,0,0,0,0,0,0,0
ypzrannhrvhlpk.com,0,0,18,0,0,0,0,0,0,0,0,0,0
theknot.com,0,0,11,0,0,0,0,0,0,0,0,0,0
jetbrains.com,0,0,13,0,0,0,0,0,0,0,0,0,0
torrentdownloads.me,0,0,19,0,0,0,0,0,0,0,0,0,0
sw2008.com,0,0,10,0,0,0,0,0,0,0,0,0,0
khaleejtimes.com,0,0,16,0,0,0,0,0,0,0,0,0,0
mercatinomusicale.com,0,0,21,0,0,0,0,0,0,0,0,0,0
